,Symbol,5Y Return,5Y Volatility,5Y Sharpe,betweenness,coreness,clustering,Antifragile
0,AADR,-0.13011219923562023,0.24338106141970567,-0.5346028095885588,0.0,0.0,1.0,4.108783132782548
1,AAXJ,-0.17757538784314686,0.22375048447879328,-0.7936312998686588,0.0015614123052183654,0.010525727486120944,0.9844597850602932,4.469264065860731
2,ACSI,0.5798655714851173,0.2047564228295104,2.8319774465289425,0.0,0.0,0.0,4.883851681823168
3,ACWF,0.17832950091915487,0.20047075535430606,0.8895536937743393,0.00017327362188720711,0.4414205685947811,0.9218664024161001,4.988258752418176
4,ACWI,0.31080133032738605,0.20038823551641066,1.550995893179234,0.0004671117550858703,0.4914141652650584,0.9074957083304274,4.990312916439177
5,ACWV,0.2583797894606764,0.1505200267500679,1.7165808101383417,0.00013150894953233434,0.5762137902025635,0.9064278564278564,6.643634216598017
6,ACWX,-0.027932116086244914,0.19723540341502374,-0.141618165920598,0.0003316287731109996,0.5732960551282903,0.9050812717479384,5.0700836801382705
7,ADME,0.20412772071182084,0.16362220361427773,1.247555137400732,1.9917891823786982e-05,0.002745326231293735,0.9418174124616524,6.111639972514951
8,AGGY,-0.05318182263065386,0.05646884268892784,-0.9417905538390203,0.0005785078475380906,0.2771266011414639,0.950028226650729,17.70888072753217
9,AIA,-0.21338443022326126,0.24566348673086266,-0.868604582076274,0.0,0.0,1.0,4.070608999763782
10,AIRR,0.7076189189654145,0.28712247873652547,2.4645193998020356,0.0,0.03647335754406829,1.0,3.482834239939946
11,AMJ,0.23616606810298363,0.36500941968295975,0.647013625862349,0.0002620598734101388,0.9613783363326102,0.8786193923502251,2.739655324151856
12,AMUB,0.24394430285156535,0.3439432965732201,0.7092573260826249,0.0002620598734101388,0.8890899583178734,0.8786193923502251,2.9074559962738387
13,ANGL,0.14180387756826357,0.11492014169085739,1.2339340648371733,0.00010001456393258927,0.490417896618552,0.920235512632742,8.70169480551168
14,ARCM,0.046455558065060715,0.02843322570597968,1.6338476170605865,5.625373972925071e-06,0.021898095138961175,0.9913663041115521,35.17012140446991
15,ASHR,-0.14823834818784568,0.2634578023165241,-0.5626644832091509,2.994651435142049e-06,0.027793849051038582,0.9951432888399155,3.795674264368825
16,ASHS,-0.17592963709562986,0.259746433369817,-0.6773130041217852,0.00016032093213364738,0.7164123617167044,0.8956389895407705,3.849908493550856
17,ASHX,-0.06219683177281135,0.24554554398992615,-0.2533005924773087,0.0004628639081415568,0.12167803178384676,0.9805287069215175,4.072564232894515
18,ATMP,0.28733841028770746,0.3478123359841291,0.8261305898615939,0.0002620598734101388,0.9492860399231495,0.8786193923502251,2.8751136648748155
19,BAB,-0.029312675253274505,0.11490951249368288,-0.2550935481071331,0.00014527321329194781,0.6234859821211695,0.9011568482516419,8.702499717375224
20,BBC,-0.042724615187345306,0.39447528518582875,-0.1083074575057818,0.00016326788048372904,0.7210216352077276,0.8946739834032156,2.535013060523986
21,BBP,0.19938928711365378,0.29953599433702394,0.6656605245555572,4.349333134670828e-05,0.2676544048810991,0.9527982155341745,3.3384969382839733
22,BCM,0.5584462000903917,0.20382789663016093,2.7397927826517,0.0002620598734101388,0.9249832281555425,0.8786193923502251,4.906099785813261
23,BDCZ,0.2680454621798495,0.2534792019370972,1.0574653073366034,0.0002620598734101388,0.9310741823265964,0.8786193923502251,3.9450968456503093
24,BFIT,0.21233744315679745,0.2252876988304809,0.9425168096575574,0.0,0.028059842946114272,1.0,4.438768761859724
25,BFOR,0.4230381483657302,0.2354793324536847,1.7964979939330157,0.00019854408978210416,0.8190554421209917,0.8855285364711621,4.2466571888923
26,BICK,-0.13164370518435636,0.309574406009925,-0.42524091988449414,6.125039391440419e-05,0.3362868998595794,0.9401585370860791,3.230241197548934
27,BIL,0.05024598564635369,0.0019268841643768793,26.076287602167497,6.29642150320004e-05,0.34572865879653675,0.9389096722621902,518.9725560505515
28,BIV,-0.001982023939948519,0.05407739915201225,-0.036651613632102106,0.00017748686869970776,0.7703800656085358,0.8906590342912057,18.492013589429245
29,BKF,-0.2521522592397158,0.24819652153027436,-1.0159379256608918,0.003069772036105762,0.008028870654061757,0.9809838970243369,4.029065330305294
30,BKLN,0.09399047052655057,0.08429328456013295,1.1150410263050061,2.963037030355153e-05,0.1999301693603345,0.9648538501060289,11.863341252132871
31,BLES,0.29022419238190766,0.22209118492897972,1.3067794314966419,0.00019854408978210416,0.8226351061824041,0.8855285364711621,4.502655070797969
32,BLHY,0.05044135476498188,0.0602989979128578,0.8365206141216164,0.00011888662564470558,0.5439491543055417,0.9110442599030858,16.584023526314123
33,BLV,-0.08730831300412797,0.12539740300967794,-0.6962529598590624,0.00019854408978210416,0.8127800844262224,0.8855285364711621,7.974646810849997
34,BND,-0.020074395835765556,0.05825785702492762,-0.3445783429207847,0.0002532730655265085,0.8802767428240095,0.8797820571666062,17.165066671987535
35,BNDX,-0.0006861743492779921,0.04082397570972375,-0.016808121633154757,0.00019854408978210416,0.815471243383708,0.8855285364711621,24.495409440531603
36,BOSS,0.5206636830304655,0.27108038470232615,1.9206984806451681,0.00012423978634108,0.5625665445186913,0.9085983138311033,3.6889426769041287
37,BRF,-0.22923552736759226,0.3796304865401819,-0.6038385627475914,1.6521850447828795e-06,0.03355140378581243,0.9971922431219379,2.6341403956084948
38,BSCM,0.11536045463339603,0.037915135501306145,3.042596396086253,0.00014527321329194781,0.6349256966035686,0.9011568482516419,26.374691446521425
39,BSCN,0.11714341724580274,0.049321192041603866,2.375113260583581,0.00013689085194496363,0.5965687230537493,0.9036406703381299,20.27526015909086
