,Symbol,Return,Volatility,Sharpe,Volume,betweenness,coreness,clustering
0,AADR,-0.13852107071153136,0.24418297425814015,-0.5672839031155898,14316.600476568705,0.0,0.0,1.0
1,AAXJ,-0.11312961599878578,0.22715861770090462,-0.49802035750957674,1246920.5718824463,0.001561412305218365,0.05253038829308175,0.9844597850602932
2,ACWF,0.18130161467137584,0.20285005503740666,0.8937715823539847,23695.552025416997,0.00017327362188720682,0.44149213200133813,0.9218664024161001
3,ACWI,0.359218043484147,0.20270208760281588,1.772147725424594,3582106.1953931693,0.00046711175508587065,0.48846749000029194,0.9074957083304274
4,ACWV,0.25905362273093635,0.15191408695420655,1.705263994438029,281478.15726767277,0.00013150894953233437,0.5713588491337005,0.9064278564278564
5,ACWX,0.05388220435900323,0.19988925690932544,0.26956028148849187,1837193.407466243,0.0003316287731109994,0.5733067613766103,0.9050812717479384
6,ADME,0.1625425075899732,0.16462572334943604,0.9873457457493385,26098.173153296266,1.991789182378698e-05,0.0,0.9418174124616524
7,AIA,-0.08566040224233466,0.2504060126182631,-0.34208604396780806,129132.72438443209,0.0,0.0,1.0
8,AMJ,0.16966787296061275,0.365538676422658,0.4641584705100602,1659067.1167593328,0.0002620598734101388,0.9258540024487975,0.8786193923502251
9,ANGL,0.09476611647779906,0.11629858615725804,0.8148518362008035,1218745.5123113582,0.00010001456393258926,0.49145800564501774,0.920235512632742
10,ASHR,-0.10378611570225109,0.26732192914938036,-0.3882439275838649,4070405.4011119935,2.9946514351420496e-06,0.10061903184022652,0.9951432888399155
11,ASHS,-0.09718975167789873,0.2610788375678781,-0.37226208214838663,18517.553613979348,0.00016032093213364735,0.7071775013970283,0.8956389895407705
12,ATMP,0.22875334868290303,0.3484081648228233,0.6565671295310529,97055.52025416997,0.0002620598734101388,0.9536091073084448,0.8786193923502251
13,BAB,-0.05076231080381146,0.11586653541418016,-0.4381101982755841,328612.8673550437,0.00014527321329194776,0.0,0.9011568482516419
14,BBC,-0.07478598604385622,0.3968658779712868,-0.18844146144826032,14082.287529785544,0.00016326788048372896,0.7201005122530145,0.8946739834032156
15,BIBL,0.283048560004488,0.24426471767350516,1.158777913979468,26662.03335980937,0.0,0.0022535211267605635,1.0
16,BICK,-0.1211427324046355,0.3173217076138113,-0.3817662942620658,12080.22239872915,6.125039391440417e-05,0.3416373220183286,0.9401585370860791
17,BIV,-0.017453658684052742,0.0555291971872553,-0.3143149832545858,1004569.579030977,0.0001774868686997077,0.7703800656085358,0.8906590342912057
18,BKLN,0.05696172753472486,0.08500729915363353,0.6700804295849705,7451658.856235107,2.9630370303551534e-05,0.03638993441922388,0.9648538501060289
19,BLES,0.23861065201073947,0.22645125120327156,1.0536954454561753,21645.591739475774,0.0001985440897821042,0.8253169118829238,0.8855285364711621
20,BND,-0.031844762701276584,0.059268533106772776,-0.5372962857695156,4547324.305003972,0.0002532730655265086,0.8811584306206691,0.8797820571666062
21,BSCN,0.10400531048649021,0.04938453792234505,2.106029839745263,322691.5806195393,0.00013689085194496374,0.5975391060844809,0.9036406703381299
22,BSCO,0.0864552196214224,0.055881010991751225,1.5471305562847517,336943.5266084194,0.00012814185955890817,0.5771958758929933,0.906910481910482
23,BSCP,0.08354446052788148,0.052697830611433544,1.5853491416733068,189865.9253375695,0.00014773590811231296,0.6406266481745552,0.9002384775106056
24,BSCQ,0.0718021333294168,0.05968905669121576,1.2029363054079507,140091.5806195393,0.00014527321329194776,0.6273069262231097,0.9011568482516419
25,BSCR,0.06335533867184676,0.0652734015652037,0.9706149388975703,62595.71088165211,0.00011427224634321097,0.5291860645916603,0.9133909568692178
26,BSJM,0.05064171439291612,0.07183261530820231,0.7049961104107749,210888.1652104845,2.34560395353616e-05,0.050388004734973034,0.9709168170706632
27,BSJN,0.06769223673080085,0.08004012061332057,0.8457288196481711,172688.56235107227,4.838966357196392e-05,0.014081121965702006,0.9502394114111734
28,BSJO,0.046781246493545696,0.08770822948175723,0.5333735131807205,118241.54090548054,1.672207628430997e-05,0.06249017803021799,0.9778877946299563
29,BSJP,0.09060578009098037,0.09663698721389394,0.9375890402133064,100943.12946783162,4.3932323255435195e-05,0.01808168437469539,0.9528901022072777
30,BSV,0.014343525777724775,0.024262319143254146,0.5911852734701507,2554276.2509928513,0.0001985440897821042,0.8073899215223257,0.8855285364711621
31,BTAL,0.07197989384647413,0.17183390450848826,0.4188922672295936,122469.73788721208,7.46656091169758e-05,0.40491787039246135,0.9314878041741483
32,CACG,0.40030650738191076,0.23572661283873125,1.6981812217179497,16052.899126290707,3.174624837528328e-05,0.004250044271294493,0.9938322772805822
33,CALF,0.6815916274213045,0.2969994730642089,2.294925376093007,75199.92057188245,3.906603376902984e-05,0.026327082564046266,0.9566499764556037
34,CDL,0.5238525682417202,0.21175922658645763,2.473812247457564,24229.70611596505,8.046752447663397e-05,0.44451609450323665,0.9279390198660986
35,CIZ,-0.03163596350288197,0.17069129949935893,-0.18534022293854985,13020.254169976171,0.0001985440897821042,0.8118824533531905,0.8855285364711621
36,CMBS,-0.023364521112836108,0.06654042522460805,-0.35113272922390965,65937.1723590151,0.00016032093213364735,0.7154905413416965,0.8956389895407705
37,CMF,0.03688156151345399,0.06053076952832513,0.6093027034159116,176814.2176330421,0.0001774868686997077,0.7721931445840098,0.8906590342912057
38,CNXT,-0.13657650683139622,0.31151706132407136,-0.4384238418624385,15286.17950754567,0.0,0.0,1.0
39,CNYA,0.03752921892255542,0.2539803048283628,0.14776428805342706,87322.87529785544,0.0004925209299833417,0.23258060525855925,0.9699035833358364
