,Symbol,Return,Volatility,Sharpe,Volume,betweenness,coreness,clustering
0,AADR,-0.13852107071153136,0.24418297425814015,-0.5672839031155898,14316.600476568705,0.0,0.0,1.0
1,AAXJ,-0.11312961599878578,0.22715861770090462,-0.49802035750957674,1246920.5718824463,0.0015614123052183665,0.010446767820585188,0.9844597850602932
2,ACWF,0.18130161467137584,0.20285005503740666,0.8937715823539847,23695.552025416997,0.00017327362188720698,0.4444450246333714,0.9218664024161001
3,ACWI,0.359218043484147,0.20270208760281588,1.772147725424594,3582106.1953931693,0.00046711175508587087,0.48842335766423356,0.9074957083304274
4,ACWV,0.25905362273093635,0.15191408695420655,1.705263994438029,281478.15726767277,0.0001315089495323344,0.5732960551282903,0.9064278564278564
5,ACWX,0.05388220435900323,0.19988925690932544,0.26956028148849187,1837193.407466243,0.0003316287731109991,0.5703732729907268,0.9050812717479384
6,ADME,0.1625425075899732,0.16462572334943604,0.9873457457493385,26098.173153296266,1.9917891823786982e-05,0.0023664882180632315,0.9418174124616524
7,AGGY,-0.05855693857362181,0.057686226295482174,-1.0150939372196,157813.1850675139,0.0005785078475380911,0.2770777553526465,0.950028226650729
8,AIA,-0.08566040224233466,0.2504060126182631,-0.34208604396780806,129132.72438443209,0.0,0.0,1.0
9,AIRR,0.8186092753460795,0.28848333700603096,2.837631052946971,30145.27402700556,0.0,0.02879019276014364,1.0
10,AMJ,0.16966787296061275,0.365538676422658,0.4641584705100602,1659067.1167593328,0.00026205987341013895,0.8829227018667009,0.8786193923502251
11,ANGL,0.09476611647779906,0.11629858615725804,0.8148518362008035,1218745.5123113582,0.0001000145639325892,0.48642612899997806,0.920235512632742
12,ASHR,-0.10378611570225109,0.26732192914938036,-0.3882439275838649,4070405.4011119935,2.99465143514205e-06,0.020767538143529995,0.9951432888399155
13,ASHS,-0.09718975167789873,0.2610788375678781,-0.37226208214838663,18517.553613979348,0.00016032093213364735,0.6988338047290418,0.8956389895407705
14,ATMP,0.22875334868290303,0.3484081648228233,0.6565671295310529,97055.52025416997,0.00026205987341013895,0.8952454302879124,0.8786193923502251
15,BAB,-0.05076231080381146,0.11586653541418016,-0.4381101982755841,328612.8673550437,0.0001452732132919477,0.6244419509156397,0.9011568482516419
16,BBC,-0.07478598604385622,0.3968658779712868,-0.18844146144826032,14082.287529785544,0.00016326788048372896,0.7191790246948864,0.8946739834032156
17,BIBL,0.283048560004488,0.24426471767350516,1.158777913979468,26662.03335980937,0.0,0.0,1.0
18,BICK,-0.1211427324046355,0.3173217076138113,-0.3817662942620658,12080.22239872915,6.125039391440419e-05,0.3404493801572032,0.9401585370860791
19,BIL,0.04387055615299335,0.0024933954073523344,17.59470480439292,2428811.04050834,6.29642150320004e-05,0.35197104274321583,0.9389096722621902
20,BIV,-0.017453658684052742,0.0555291971872553,-0.3143149832545858,1004569.579030977,0.00017748686869970776,0.7694730504558626,0.8906590342912057
21,BKF,-0.21968475091483156,0.2516605627943262,-0.8729407121860909,47307.86338363781,0.0030697720361057635,0.008303655453656376,0.9809838970243369
22,BKLN,0.05696172753472486,0.08500729915363353,0.6700804295849705,7451658.856235107,2.9630370303551534e-05,0.1998695889949939,0.9648538501060289
23,BLES,0.23861065201073947,0.22645125120327156,1.0536954454561753,21645.591739475774,0.00019854408978210416,0.8449086645788407,0.8855285364711621
24,BLV,-0.09666232569167843,0.12730168189180288,-0.7593169568162842,423964.8133439238,0.00019854408978210416,0.8091878132020216,0.8855285364711621
25,BND,-0.031844762701276584,0.059268533106772776,-0.5372962857695156,4547324.305003972,0.00025327306552650863,0.8802767428240095,0.8797820571666062
26,BNDX,-0.03243515237377121,0.04373629436664385,-0.7416072359003595,2273824.702144559,0.00019854408978210416,0.8493435193890785,0.8855285364711621
27,BRF,-0.3264923804590438,0.38406499741470357,-0.8500966832614159,20251.787132644957,1.6521850447828797e-06,0.026401365143758654,0.9971922431219379
28,BSCM,0.10239028410906807,0.037908693422995736,2.7009710666249775,377277.4424146148,0.0001452732132919477,0.6263524210652089,0.9011568482516419
29,BSCN,0.10400531048649021,0.04938453792234505,2.106029839745263,322691.5806195393,0.00013689085194496368,0.5956021673370342,0.9036406703381299
30,BSCO,0.0864552196214224,0.055881010991751225,1.5471305562847517,336943.5266084194,0.00012814185955890817,0.5742691911589954,0.906910481910482
31,BSCP,0.08354446052788148,0.052697830611433544,1.5853491416733068,189865.9253375695,0.00014773590811231293,0.6406266481745552,0.9002384775106056
32,BSCQ,0.0718021333294168,0.05968905669121576,1.2029363054079507,140091.5806195393,0.0001452732132919477,0.6349256966035686,0.9011568482516419
33,BSCR,0.06335533867184676,0.0652734015652037,0.9706149388975703,62595.71088165211,0.00011427224634321103,0.5212432535619458,0.9133909568692178
34,BSJM,0.05064171439291612,0.07183261530820231,0.7049961104107749,210888.1652104845,2.3456039535361598e-05,0.16824574288047223,0.9709168170706632
35,BSJN,0.06769223673080085,0.08004012061332057,0.8457288196481711,172688.56235107227,4.838966357196392e-05,0.28024836322858115,0.9502394114111734
36,BSJO,0.046781246493545696,0.08770822948175723,0.5333735131807205,118241.54090548054,1.6722076284309968e-05,0.004185365735644558,0.9778877946299563
37,BSJP,0.09060578009098037,0.09663698721389394,0.9375890402133064,100943.12946783162,4.3932323255435195e-05,0.2686573085579087,0.9528901022072777
38,BSV,0.014343525777724775,0.024262319143254146,0.5911852734701507,2554276.2509928513,0.00019854408978210416,0.8377993658348705,0.8855285364711621
