,Symbol,1Y Return,1Y Volatility,1Y Sharpe,betweenness,clustering,coreness,Antifragile
0,AADR,-0.2519473022946374,0.25034632126258466,-1.0063950651400766,0.0,1.0,0.0,3.9944665252385088
1,AAXJ,-0.33744040628999894,0.23284707362380286,-1.449193245327967,0.0015614123052183663,0.9844597850602932,0.03211374261098018,4.294664237935154
2,ACIO,-0.06012407922104874,0.1488244963142687,-0.4039931644995212,0.00020914863347286554,0.9376592204675013,0.0,6.7193239336643
3,ACSI,-0.14806465305073702,0.23894236054047896,-0.6196668213866312,0.0,0.0,0.0,4.185109738340394
4,ACTV,-0.18167711108955037,0.24295293138159976,-0.7477872773808805,1.1472606944300782e-07,0.9997895626680576,0.09431520513487726,4.116023603062959
5,ACVF,-0.1303113782359206,0.22147133955003998,-0.5883893532258949,0.0001777816638208306,0.9529564981926183,0.2060316064346583,4.51525692684067
6,ACWF,-0.14948198151575104,0.20861290228351426,-0.7165519480314709,0.00017327362188720717,0.9218664024161001,0.44242944971696063,4.793567363541855
7,ACWI,-0.19315022980354196,0.21559957342539107,-0.8958748235667647,0.0004671117550858707,0.9074957083304274,0.48742508111770017,4.638228100882831
8,ACWV,-0.10079781304154264,0.1393676122093672,-0.7232513454425662,0.0001315089495323343,0.9064278564278564,0.5703732729907268,7.175268228731179
9,ACWX,-0.2434914239907122,0.2049038032913105,-1.1883206659885268,0.00033162877311099893,0.9050812717479384,0.571348098394563,4.880338890431946
10,ADIV,-0.2644503351199615,0.18042977557675827,-1.4656690353608477,0.0,1.0,0.08015515978721863,5.5423224731251794
11,ADME,-0.16128665828105118,0.16622149818962223,-0.9703116626771016,1.991789182378698e-05,0.9418174124616524,0.0013932427725531174,6.016068985608706
12,AEMB,-0.24118099118144043,0.1194871248605935,-2.018468445557026,2.1813862574491593e-05,0.9725665243455385,0.03249741567441326,8.369102538593236
13,AFIF,-0.07476651035650353,0.06490432591959461,-1.1519495703433773,1.1555233972811939e-05,0.9835874924742983,0.05216218494478631,15.40729351752038
14,AFLG,-0.1079080664376525,0.2118293922818563,-0.5094102630199308,0.0006543051359426143,0.9276750700280112,0.2687665783689139,4.720780195929649
15,AFMC,-0.1278228435446211,0.23711322125839085,-0.5390793599203307,0.00011606811454965339,0.9125483667342877,0.533111314438995,4.217394520191111
16,AFSM,-0.12996423438117113,0.2525862182821088,-0.5145341470531718,0.0001452732132919478,0.9011568482516419,0.6234859821211695,3.959044190143101
17,AGGY,-0.17646463664044373,0.07360644751974098,-2.39740732757299,0.0005785078475380904,0.950028226650729,0.2803028569316107,13.585766379117858
18,AGNG,-0.15370088245484434,0.20472271104479545,-0.750775923542811,1.23190588508482e-07,0.9997669805337565,0.08420209735290042,4.884655907967092
19,AIA,-0.41652097160301615,0.28728706826128714,-1.4498423967492717,0.0,1.0,0.0,3.4808388907032235
20,AIRR,0.023146753576955507,0.26633188272062414,0.08690943547767394,0.0,1.0,0.08605529536183713,3.754713817154878
21,ALTL,-0.08785292806201539,0.250919058432004,-0.35012457248568246,0.00010754232619865028,0.9173325246827203,0.501371261226456,3.985348925860838
22,AMJ,0.27760893441296625,0.2802077646369414,0.9907253454330845,0.0002620598734101389,0.8786193923502251,0.9656878603154868,3.568780477213672
23,AMNA,0.14653477502147047,0.2505980239246853,0.5847403452211979,0.0002620598734101389,0.8786193923502251,0.9075219507214811,3.9904544510715696
24,AMND,0.1521510124237899,0.243826284181183,0.6240139898565209,0.0002620598734101389,0.8786193923502251,0.9449580109676456,4.101280562750642
25,AMUB,0.27863810258746907,0.2778844296520517,1.0027121812343394,0.0002620598734101389,0.8786193923502251,0.9057709219183083,3.5986183222001076
26,ANEW,-0.3289359956685368,0.27038008981734457,-1.21656885272414,0.00022451520856971152,0.9292658721219852,0.32891465650466983,3.698497181044472
27,ANGL,-0.15156020278955917,0.11336981218717947,-1.336865607039424,0.00010001456393258926,0.920235512632742,0.4914141652650584,8.820690276428683
28,ARB,0.046737965034534555,0.06472472487991365,0.7221037265318524,2.0642736221785394e-06,0.9965459004845924,0.07612896706775908,15.450046359491518
29,ARCM,-0.004227484709020597,0.009725747864541077,-0.43466937122989835,5.625373972925069e-06,0.9913663041115521,0.06024005053695515,102.81985652187029
30,ASHR,-0.35538062959249733,0.24726556356630744,-1.4372427137319406,2.994651435142049e-06,0.9951432888399155,0.07027286469804558,4.044234812066085
31,ASHS,-0.27161148094548965,0.2420863550125445,-1.121961132139873,0.00016032093213364738,0.8956389895407705,0.7062519556694016,4.130757390056873
32,ASHX,-0.3408975683669768,0.2363255187833408,-1.4424915689257658,0.0004628639081415524,0.9805287069215175,0.16974558250039828,4.231451622948866
33,ASPY,-0.04588589704081231,0.10130511854216993,-0.45294746900386423,1.5152473116203283e-05,0.9797911040852183,0.17575448497829757,9.871169536055904
34,ATFV,-0.383682345445153,0.3209713210982441,-1.1953789021783479,0.0002620598734101389,0.8786193923502251,0.9492860399231495,3.1155431475259943
35,ATMP,0.22937908701380416,0.3477421858564415,0.6596239868018164,0.0002620598734101389,0.8786193923502251,0.9414919701499275,2.8756936623525746
36,AUSF,0.05132810023759856,0.1640935554986706,0.3127977822262154,5.340024786745645e-05,0.9465692391813371,0.2961750646126989,6.094084541961805
37,AVDE,-0.219034655412574,0.2084304701973828,-1.0508763675730763,0.00020861662583471045,0.8893750253196058,0.7803395008419169,4.797763009664585
38,AVDV,-0.21303340613239088,0.21492545358796775,-0.9911967269395457,0.00016945158537799335,0.8927415303901323,0.7366512197163964,4.652776036090605
